Height,Element,Peak Freq (Hz),Length(ms),Interval of c-c (ms),Site,Order,Number of c note
32,b,2325.586,0.411,,yhgy,6,
22,b,3703.711,0.4263,,yhgy,7,
5,b,2583.984,0.1579,,yhgy,8,
5,b,2497.852,0.4019,,yhgy,8,
5,b,3100.781,0.6136,,yhgy,8,
82,b,2583.984,0.4808,,txg,2,
46,b,3186.914,0.2942,,txg,3,
35,b,3186.914,0.1471,,txg,4,
35,b,3273.047,0.4055,,txg,4,
35,b,3273.047,0.3552,,txg,4,
35,b,2928.516,0.6925,,txg,4,
35,b,3531.445,0.1364,,txg,4,
35,b,3531.445,0.2009,,txg,4,
35,b,2842.383,0.366,,txg,4,
34,b,3617.578,0.3086,,txg,5,
34,b,3273.047,0.3768,,txg,5,
34,b,3014.648,0.6459,,txg,5,
86,b,2928.516,0.2261,,lgd,2,
27,b,2670.117,0.3086,,lgd,5,
27,b,3445.312,0.1399,,lgd,5,
15,b,3186.914,0.2791,,lgd,6,
15,b,3359.18,0.4922,,lgd,6,
15,b,3617.578,0.7257,,lgd,6,
15,b,2583.984,0.3857,,lgd,6,
15,b,2497.852,0.5785,,lgd,6,
101,b,3273.047,0.1319,,lgd,1,
101,b,3962.109,0.1624,,lgd,1,
101,b,2583.984,0.2055,,lgd,1,
101,b,3273.047,0.1751,,lgd,1,
84,b,2842.383,0.2081,,lgd,2,
84,b,2756.25,0.2258,,lgd,2,
84,b,2928.516,0.17,,lgd,2,
84,b,3789.844,0.2537,,lgd,2,
19,b,3100.781,0.4187,,lgd,3,
19,b,2583.984,0.3882,,lgd,3,
19,b,2756.25,0.3122,,lgd,3,
19,b,3875.977,0.3624,,lgd,3,
60,b,2756.25,0.5992,,tdxy,1,
42,b,3186.914,0.2619,,tdxy,3,
34,b,2497.852,0.5167,,tdxy,4,
34,b,2239.453,0.7966,,tdxy,4,
34,b,3531.445,0.1866,,tdxy,4,
37,b,2497.852,0.5024,,tdxy,5,
27,b,2411.719,1.037,,txg,2,
27,b,2583.984,0.4988,,txg,2,
27,b,3703.711,0.2835,,txg,2,
21,b,3186.914,0.3086,,txg,3,
53,b,2928.516,0.2081,,lyj,2,
34,b,3100.781,0.7069,,lyj,3,
34,b,2325.586,0.6315,,lyj,3,
34,b,2497.852,0.9186,,lyj,3,
34,b,2325.586,0.3588,,lyj,3,
34,b,2411.719,0.9222,,lyj,3,
34,b,2411.719,0.3337,,lyj,3,
34,b,3100.781,0.1399,,lyj,3,
34,b,3962.109,0.4339,,lyj,3,
34,b,2497.852,0.2131,,lyj,3,
38,b,2583.984,0.3019,,lyj,4,
38,b,2756.25,0.4161,,lyj,4,
28,b,2325.586,1.0098,,lyj,5,
28,b,3703.711,0.8373,,lyj,5,
28,b,2411.719,0.4567,,lyj,5,
28,b,2411.719,0.5176,,lyj,5,
28,b,2928.516,0.269,,lyj,5,
55,b,3531.445,0.4009,,lgd,3,
44,b,2928.516,0.4161,,lyj,1,
44,b,2928.516,0.7409,,lyj,1,
44,b,2583.984,0.6952,,lyj,1,
78,b,3273.047,0.6749,,lyj,2,
78,b,3014.648,1.1925,,lyj,2,
78,b,3273.047,0.8424,,lyj,2,
78,b,3273.047,0.883,,lyj,2,
76,b,2842.383,0.8373,,lyj,3,
76,b,3014.648,0.5379,,lyj,3,
76,b,2583.984,0.7206,,lyj,3,
60,b,3273.047,0.2691,,lyj,4,
60,b,3273.047,0.6423,,lyj,4,
60,b,3100.781,0.6638,,lyj,4,
46,b,3617.578,0.1573,,lyj,5,
46,b,3186.914,0.241,,lyj,5,
46,b,3100.781,0.17,,lyj,5,
34,b,3100.781,0.4516,,lyj,6,
34,b,2756.25,0.477,,lyj,6,
34,b,2928.516,0.5684,,lyj,6,
34,b,2928.516,0.2131,,lyj,6,
26,b,3531.445,0.5176,,lyj,7,
26,b,3359.18,0.1218,,lyj,7,
